species,length,weight,w_l_ratio
Anabas testudineus,8.57,2.93,0.34
Anabas testudineus,6.69,3.05,0.46
Anabas testudineus,8.35,3.08,0.37
Anabas testudineus,8.84,3.2,0.36
Anabas testudineus,7.82,3.07,0.39
Anabas testudineus,7.5,3.25,0.43
Anabas testudineus,9.09,3.0,0.33
Anabas testudineus,9.88,3.11,0.31
Anabas testudineus,9.87,3.08,0.31
Anabas testudineus,7.25,3.02,0.42
Anabas testudineus,9.27,3.16,0.34
Anabas testudineus,8.62,2.96,0.34
Anabas testudineus,7.48,3.1,0.41
Anabas testudineus,9.17,3.16,0.34
Anabas testudineus,7.51,3.06,0.41
Anabas testudineus,7.02,3.21,0.46
Anabas testudineus,9.96,3.12,0.31
Anabas testudineus,9.32,3.19,0.34
Anabas testudineus,7.71,2.99,0.39
Anabas testudineus,7.75,3.24,0.42
Anabas testudineus,7.28,3.0,0.41
Anabas testudineus,6.89,2.88,0.42
Anabas testudineus,7.62,3.14,0.41
Anabas testudineus,9.24,3.06,0.33
Anabas testudineus,9.07,3.21,0.35
Anabas testudineus,8.98,3.18,0.35
Anabas testudineus,8.82,2.83,0.32
Anabas testudineus,10.71,3.2,0.3
Anabas testudineus,8.73,2.96,0.34
Anabas testudineus,6.94,2.93,0.42
Anabas testudineus,10.03,3.24,0.32
Anabas testudineus,9.89,3.1,0.31
Anabas testudineus,6.79,3.15,0.46
Anabas testudineus,7.86,2.95,0.38
Anabas testudineus,7.46,2.91,0.39
Anabas testudineus,9.63,3.1,0.32
Anabas testudineus,9.14,3.02,0.33
Anabas testudineus,7.69,3.01,0.39
Anabas testudineus,7.58,3.13,0.41
Anabas testudineus,6.52,3.13,0.48
Anabas testudineus,9.52,2.97,0.31
Anabas testudineus,9.34,3.12,0.33
Anabas testudineus,7.36,3.1,0.42
Anabas testudineus,10.44,3.02,0.29
Anabas testudineus,9.98,3.11,0.31
Anabas testudineus,7.85,3.2,0.41
Anabas testudineus,8.11,3.06,0.38
Anabas testudineus,8.19,3.07,0.37
Anabas testudineus,7.86,3.13,0.4
Anabas testudineus,6.84,3.08,0.45
Anabas testudineus,7.69,2.98,0.39
Anabas testudineus,7.56,3.18,0.42
Anabas testudineus,6.82,3.17,0.46
Anabas testudineus,8.92,3.15,0.35
Anabas testudineus,9.75,3.25,0.33
Anabas testudineus,7.27,3.08,0.42
Anabas testudineus,8.22,3.07,0.37
Anabas testudineus,7.79,3.19,0.41
Anabas testudineus,7.97,3.03,0.38
Anabas testudineus,7.0,3.13,0.45
Anabas testudineus,9.38,3.19,0.34
Anabas testudineus,9.11,3.18,0.35
Anabas testudineus,7.51,3.17,0.42
Anabas testudineus,9.22,3.09,0.34
Anabas testudineus,7.63,3.07,0.4
Anabas testudineus,9.22,3.08,0.33
Anabas testudineus,9.74,3.24,0.33
Anabas testudineus,8.48,3.13,0.37
Anabas testudineus,7.93,3.17,0.4
Anabas testudineus,8.8,3.02,0.34
Anabas testudineus,7.79,3.01,0.39
Anabas testudineus,8.76,2.99,0.34
Anabas testudineus,7.17,2.97,0.41
Anabas testudineus,8.38,3.02,0.36
Anabas testudineus,6.73,3.14,0.47
Anabas testudineus,9.08,3.03,0.33
Anabas testudineus,7.88,2.97,0.38
Anabas testudineus,6.99,3.31,0.47
Anabas testudineus,6.93,3.09,0.45
Anabas testudineus,6.87,3.19,0.46
Anabas testudineus,9.1,3.1,0.34
Anabas testudineus,7.07,3.01,0.43
Anabas testudineus,9.51,2.95,0.31
Anabas testudineus,7.37,3.2,0.43
Anabas testudineus,9.62,3.09,0.32
Anabas testudineus,6.62,3.0,0.45
Anabas testudineus,7.07,3.07,0.43
Anabas testudineus,8.92,3.12,0.35
Anabas testudineus,7.14,3.03,0.42
Anabas testudineus,7.62,3.04,0.4
Anabas testudineus,7.11,3.11,0.44
Anabas testudineus,8.39,3.08,0.37
Anabas testudineus,7.16,3.13,0.44
Anabas testudineus,8.77,3.09,0.35
Anabas testudineus,6.54,2.94,0.45
Anabas testudineus,7.5,3.03,0.4
Anabas testudineus,7.36,3.06,0.42
Anabas testudineus,6.74,3.11,0.46
Anabas testudineus,10.85,3.17,0.29
Anabas testudineus,7.63,3.09,0.41
Anabas testudineus,8.36,3.04,0.36
Anabas testudineus,6.62,3.08,0.47
Anabas testudineus,8.33,2.87,0.34
Anabas testudineus,9.87,2.96,0.3
Anabas testudineus,7.19,2.81,0.39
Anabas testudineus,7.96,3.24,0.41
Anabas testudineus,8.14,3.21,0.39
Anabas testudineus,8.05,2.98,0.37
Anabas testudineus,7.11,3.08,0.43
Anabas testudineus,8.07,3.17,0.39
Anabas testudineus,7.44,3.15,0.42
Anabas testudineus,6.82,3.24,0.47
Anabas testudineus,7.06,3.11,0.44
Anabas testudineus,7.36,3.03,0.41
Anabas testudineus,7.28,3.12,0.43
Anabas testudineus,8.69,3.07,0.35
Anabas testudineus,7.52,3.05,0.41
Anabas testudineus,9.95,3.2,0.32
Anabas testudineus,8.72,3.14,0.36
Anabas testudineus,7.89,3.34,0.42
Anabas testudineus,7.21,3.05,0.42
Anabas testudineus,7.69,3.09,0.4
Anabas testudineus,8.51,3.29,0.39
Anabas testudineus,7.44,3.19,0.43
Anabas testudineus,9.07,3.03,0.33
Anabas testudineus,10.11,3.15,0.31
Anabas testudineus,7.8,3.12,0.4
Anabas testudineus,7.06,2.99,0.42
Anabas testudineus,7.43,2.94,0.4
Anabas testudineus,10.61,3.18,0.3
Anabas testudineus,8.14,3.01,0.37
Anabas testudineus,7.03,3.13,0.45
Anabas testudineus,6.77,3.02,0.45
Anabas testudineus,9.76,3.21,0.33
Anabas testudineus,7.68,3.02,0.39
Anabas testudineus,10.07,3.11,0.31
Anabas testudineus,7.54,3.15,0.42
Anabas testudineus,8.95,3.11,0.35
Anabas testudineus,9.08,3.11,0.34
Anabas testudineus,8.26,3.07,0.37
Anabas testudineus,8.12,3.02,0.37
Anabas testudineus,7.97,3.23,0.41
Anabas testudineus,9.59,3.23,0.34
Anabas testudineus,10.08,3.16,0.31
Anabas testudineus,7.2,3.09,0.43
Anabas testudineus,8.57,3.23,0.38
Anabas testudineus,8.57,3.22,0.38
Anabas testudineus,7.03,3.25,0.46
Anabas testudineus,8.45,3.27,0.39
Anabas testudineus,8.37,3.18,0.38
Anabas testudineus,8.27,3.03,0.37
Anabas testudineus,6.56,3.15,0.48
Anabas testudineus,9.48,3.11,0.33
Anabas testudineus,7.49,3.16,0.42
Anabas testudineus,8.47,3.16,0.37
Anabas testudineus,7.13,3.13,0.44
Anabas testudineus,6.96,3.2,0.46
Anabas testudineus,7.01,3.06,0.44
Anabas testudineus,7.5,2.97,0.4
Anabas testudineus,6.72,3.1,0.46
Anabas testudineus,9.92,3.06,0.31
Anabas testudineus,7.53,3.12,0.41
Anabas testudineus,9.35,3.13,0.33
Anabas testudineus,7.82,3.02,0.39
Anabas testudineus,7.68,3.15,0.41
Anabas testudineus,7.31,2.91,0.4
Anabas testudineus,8.19,3.26,0.4
Anabas testudineus,6.41,2.92,0.46
Anabas testudineus,8.0,3.21,0.4
Anabas testudineus,7.21,3.1,0.43
Anabas testudineus,9.69,3.18,0.33
Anabas testudineus,7.18,2.98,0.42
Anabas testudineus,6.77,3.26,0.48
Anabas testudineus,8.82,3.07,0.35
Anabas testudineus,7.5,3.08,0.41
Anabas testudineus,7.14,3.07,0.43
Anabas testudineus,8.68,3.09,0.36
Anabas testudineus,9.85,2.96,0.3
Anabas testudineus,7.12,3.03,0.43
Anabas testudineus,9.2,3.08,0.33
Anabas testudineus,7.25,3.14,0.43
Anabas testudineus,8.86,3.24,0.37
Anabas testudineus,6.76,3.08,0.46
Anabas testudineus,6.67,3.2,0.48
Anabas testudineus,7.03,2.98,0.42
Anabas testudineus,7.74,3.0,0.39
Anabas testudineus,9.91,3.26,0.33
Anabas testudineus,8.59,3.18,0.37
Anabas testudineus,10.57,3.29,0.31
Anabas testudineus,9.15,3.17,0.35
Anabas testudineus,7.95,3.16,0.4
Anabas testudineus,10.72,3.41,0.32
Anabas testudineus,8.12,3.14,0.39
Anabas testudineus,8.67,3.13,0.36
Anabas testudineus,6.97,3.14,0.45
Anabas testudineus,7.7,2.92,0.38
Anabas testudineus,8.81,3.14,0.36
Anabas testudineus,7.55,3.14,0.42
Anabas testudineus,7.3,3.04,0.42
Anabas testudineus,6.58,3.15,0.48
Anabas testudineus,7.3,3.08,0.42
Anabas testudineus,6.99,3.04,0.44
Anabas testudineus,7.94,3.21,0.41
Anabas testudineus,7.66,3.2,0.42
Anabas testudineus,8.67,3.07,0.35
Anabas testudineus,7.0,3.1,0.44
Anabas testudineus,8.98,3.12,0.35
Anabas testudineus,7.95,3.1,0.39
Anabas testudineus,7.34,3.12,0.43
